sku_name,cloud,tier,product_type,sku_region,region,usage_unit,price_per_dbu,currency_code,pricing_type,fetched_at
JOBS_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.2,USD,,2026-04-10T09:19:36.089946
JOBS_COMPUTE_(PHOTON),AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.2,USD,,2026-04-10T09:19:36.089946
JOBS_LIGHT_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.13,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.65,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_COMPUTE_(PHOTON),AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.65,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_COMPUTE_(DLT),AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.65,USD,,2026-04-10T09:19:36.089946
DLT_CORE_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.2,USD,,2026-04-10T09:19:36.089946
DLT_CORE_COMPUTE_(PHOTON),AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.2,USD,,2026-04-10T09:19:36.089946
DLT_PRO_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.25,USD,,2026-04-10T09:19:36.089946
DLT_PRO_COMPUTE_(PHOTON),AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.25,USD,,2026-04-10T09:19:36.089946
DLT_ADVANCED_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.36,USD,,2026-04-10T09:19:36.089946
DLT_ADVANCED_COMPUTE_(PHOTON),AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.36,USD,,2026-04-10T09:19:36.089946
JOBS_SERVERLESS_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.5,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_SERVERLESS_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-1,DBU,1.05,USD,,2026-04-10T09:19:36.089946
SQL_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.22,USD,,2026-04-10T09:19:36.089946
SQL_PRO_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.78,USD,,2026-04-10T09:19:36.089946
SERVERLESS_SQL_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-1,DBU,1.0,USD,,2026-04-10T09:19:36.089946
SERVERLESS_REAL_TIME_INFERENCE,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.09,USD,,2026-04-10T09:19:36.089946
SERVERLESS_REAL_TIME_INFERENCE_LAUNCH,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.091,USD,,2026-04-10T09:19:36.089946
MODEL_TRAINING,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.85,USD,,2026-04-10T09:19:36.089946
OPENAI_MODEL_SERVING,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.07,USD,,2026-04-10T09:19:36.089946
ANTHROPIC_MODEL_SERVING,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.07,USD,,2026-04-10T09:19:36.089946
GEMINI_MODEL_SERVING,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.07,USD,,2026-04-10T09:19:36.089946
DATABASE_SERVERLESS_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.63,USD,,2026-04-10T09:19:36.089946
DATABRICKS_STORAGE,AWS,ENTERPRISE,,,ap-northeast-1,DBU,0.025,USD,,2026-04-10T09:19:36.089946
JOBS_COMPUTE,AWS,PREMIUM,,,ap-northeast-1,DBU,0.15,USD,,2026-04-10T09:19:36.089946
JOBS_COMPUTE_(PHOTON),AWS,PREMIUM,,,ap-northeast-1,DBU,0.15,USD,,2026-04-10T09:19:36.089946
JOBS_LIGHT_COMPUTE,AWS,PREMIUM,,,ap-northeast-1,DBU,0.1,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_COMPUTE,AWS,PREMIUM,,,ap-northeast-1,DBU,0.55,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_COMPUTE_(PHOTON),AWS,PREMIUM,,,ap-northeast-1,DBU,0.55,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_COMPUTE_(DLT),AWS,PREMIUM,,,ap-northeast-1,DBU,0.55,USD,,2026-04-10T09:19:36.089946
DLT_CORE_COMPUTE,AWS,PREMIUM,,,ap-northeast-1,DBU,0.2,USD,,2026-04-10T09:19:36.089946
DLT_CORE_COMPUTE_(PHOTON),AWS,PREMIUM,,,ap-northeast-1,DBU,0.2,USD,,2026-04-10T09:19:36.089946
DLT_PRO_COMPUTE,AWS,PREMIUM,,,ap-northeast-1,DBU,0.25,USD,,2026-04-10T09:19:36.089946
DLT_PRO_COMPUTE_(PHOTON),AWS,PREMIUM,,,ap-northeast-1,DBU,0.25,USD,,2026-04-10T09:19:36.089946
DLT_ADVANCED_COMPUTE,AWS,PREMIUM,,,ap-northeast-1,DBU,0.36,USD,,2026-04-10T09:19:36.089946
DLT_ADVANCED_COMPUTE_(PHOTON),AWS,PREMIUM,,,ap-northeast-1,DBU,0.36,USD,,2026-04-10T09:19:36.089946
JOBS_SERVERLESS_COMPUTE,AWS,PREMIUM,,,ap-northeast-1,DBU,0.39,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_SERVERLESS_COMPUTE,AWS,PREMIUM,,,ap-northeast-1,DBU,0.83,USD,,2026-04-10T09:19:36.089946
SQL_COMPUTE,AWS,PREMIUM,,,ap-northeast-1,DBU,0.22,USD,,2026-04-10T09:19:36.089946
SQL_PRO_COMPUTE,AWS,PREMIUM,,,ap-northeast-1,DBU,0.78,USD,,2026-04-10T09:19:36.089946
SERVERLESS_SQL_COMPUTE,AWS,PREMIUM,,,ap-northeast-1,DBU,1.0,USD,,2026-04-10T09:19:36.089946
SERVERLESS_REAL_TIME_INFERENCE,AWS,PREMIUM,,,ap-northeast-1,DBU,0.09,USD,,2026-04-10T09:19:36.089946
SERVERLESS_REAL_TIME_INFERENCE_LAUNCH,AWS,PREMIUM,,,ap-northeast-1,DBU,0.091,USD,,2026-04-10T09:19:36.089946
MODEL_TRAINING,AWS,PREMIUM,,,ap-northeast-1,DBU,0.85,USD,,2026-04-10T09:19:36.089946
OPENAI_MODEL_SERVING,AWS,PREMIUM,,,ap-northeast-1,DBU,0.07,USD,,2026-04-10T09:19:36.089946
ANTHROPIC_MODEL_SERVING,AWS,PREMIUM,,,ap-northeast-1,DBU,0.07,USD,,2026-04-10T09:19:36.089946
GEMINI_MODEL_SERVING,AWS,PREMIUM,,,ap-northeast-1,DBU,0.07,USD,,2026-04-10T09:19:36.089946
DATABASE_SERVERLESS_COMPUTE,AWS,PREMIUM,,,ap-northeast-1,DBU,0.48,USD,,2026-04-10T09:19:36.089946
DATABRICKS_STORAGE,AWS,PREMIUM,,,ap-northeast-1,DBU,0.025,USD,,2026-04-10T09:19:36.089946
JOBS_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.2,USD,,2026-04-10T09:19:36.089946
JOBS_COMPUTE_(PHOTON),AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.2,USD,,2026-04-10T09:19:36.089946
JOBS_LIGHT_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.13,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.65,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_COMPUTE_(PHOTON),AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.65,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_COMPUTE_(DLT),AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.65,USD,,2026-04-10T09:19:36.089946
DLT_CORE_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.2,USD,,2026-04-10T09:19:36.089946
DLT_CORE_COMPUTE_(PHOTON),AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.2,USD,,2026-04-10T09:19:36.089946
DLT_PRO_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.25,USD,,2026-04-10T09:19:36.089946
DLT_PRO_COMPUTE_(PHOTON),AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.25,USD,,2026-04-10T09:19:36.089946
DLT_ADVANCED_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.36,USD,,2026-04-10T09:19:36.089946
DLT_ADVANCED_COMPUTE_(PHOTON),AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.36,USD,,2026-04-10T09:19:36.089946
JOBS_SERVERLESS_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.5,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_SERVERLESS_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-2,DBU,1.0,USD,,2026-04-10T09:19:36.089946
SQL_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.22,USD,,2026-04-10T09:19:36.089946
SQL_PRO_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.74,USD,,2026-04-10T09:19:36.089946
SERVERLESS_SQL_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.95,USD,,2026-04-10T09:19:36.089946
SERVERLESS_REAL_TIME_INFERENCE,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.086,USD,,2026-04-10T09:19:36.089946
SERVERLESS_REAL_TIME_INFERENCE_LAUNCH,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.086,USD,,2026-04-10T09:19:36.089946
MODEL_TRAINING,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.85,USD,,2026-04-10T09:19:36.089946
OPENAI_MODEL_SERVING,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.07,USD,,2026-04-10T09:19:36.089946
ANTHROPIC_MODEL_SERVING,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.07,USD,,2026-04-10T09:19:36.089946
GEMINI_MODEL_SERVING,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.07,USD,,2026-04-10T09:19:36.089946
DATABASE_SERVERLESS_COMPUTE,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.63,USD,,2026-04-10T09:19:36.089946
DATABRICKS_STORAGE,AWS,ENTERPRISE,,,ap-northeast-2,DBU,0.025,USD,,2026-04-10T09:19:36.089946
JOBS_COMPUTE,AWS,PREMIUM,,,ap-northeast-2,DBU,0.15,USD,,2026-04-10T09:19:36.089946
JOBS_COMPUTE_(PHOTON),AWS,PREMIUM,,,ap-northeast-2,DBU,0.15,USD,,2026-04-10T09:19:36.089946
JOBS_LIGHT_COMPUTE,AWS,PREMIUM,,,ap-northeast-2,DBU,0.1,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_COMPUTE,AWS,PREMIUM,,,ap-northeast-2,DBU,0.55,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_COMPUTE_(PHOTON),AWS,PREMIUM,,,ap-northeast-2,DBU,0.55,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_COMPUTE_(DLT),AWS,PREMIUM,,,ap-northeast-2,DBU,0.55,USD,,2026-04-10T09:19:36.089946
DLT_CORE_COMPUTE,AWS,PREMIUM,,,ap-northeast-2,DBU,0.2,USD,,2026-04-10T09:19:36.089946
DLT_CORE_COMPUTE_(PHOTON),AWS,PREMIUM,,,ap-northeast-2,DBU,0.2,USD,,2026-04-10T09:19:36.089946
DLT_PRO_COMPUTE,AWS,PREMIUM,,,ap-northeast-2,DBU,0.25,USD,,2026-04-10T09:19:36.089946
DLT_PRO_COMPUTE_(PHOTON),AWS,PREMIUM,,,ap-northeast-2,DBU,0.25,USD,,2026-04-10T09:19:36.089946
DLT_ADVANCED_COMPUTE,AWS,PREMIUM,,,ap-northeast-2,DBU,0.36,USD,,2026-04-10T09:19:36.089946
DLT_ADVANCED_COMPUTE_(PHOTON),AWS,PREMIUM,,,ap-northeast-2,DBU,0.36,USD,,2026-04-10T09:19:36.089946
JOBS_SERVERLESS_COMPUTE,AWS,PREMIUM,,,ap-northeast-2,DBU,0.39,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_SERVERLESS_COMPUTE,AWS,PREMIUM,,,ap-northeast-2,DBU,0.79,USD,,2026-04-10T09:19:36.089946
SQL_COMPUTE,AWS,PREMIUM,,,ap-northeast-2,DBU,0.22,USD,,2026-04-10T09:19:36.089946
SQL_PRO_COMPUTE,AWS,PREMIUM,,,ap-northeast-2,DBU,0.74,USD,,2026-04-10T09:19:36.089946
SERVERLESS_SQL_COMPUTE,AWS,PREMIUM,,,ap-northeast-2,DBU,0.95,USD,,2026-04-10T09:19:36.089946
SERVERLESS_REAL_TIME_INFERENCE,AWS,PREMIUM,,,ap-northeast-2,DBU,0.086,USD,,2026-04-10T09:19:36.089946
MODEL_TRAINING,AWS,PREMIUM,,,ap-northeast-2,DBU,0.85,USD,,2026-04-10T09:19:36.089946
OPENAI_MODEL_SERVING,AWS,PREMIUM,,,ap-northeast-2,DBU,0.07,USD,,2026-04-10T09:19:36.089946
ANTHROPIC_MODEL_SERVING,AWS,PREMIUM,,,ap-northeast-2,DBU,0.07,USD,,2026-04-10T09:19:36.089946
GEMINI_MODEL_SERVING,AWS,PREMIUM,,,ap-northeast-2,DBU,0.07,USD,,2026-04-10T09:19:36.089946
DATABASE_SERVERLESS_COMPUTE,AWS,PREMIUM,,,ap-northeast-2,DBU,0.48,USD,,2026-04-10T09:19:36.089946
DATABRICKS_STORAGE,AWS,PREMIUM,,,ap-northeast-2,DBU,0.025,USD,,2026-04-10T09:19:36.089946
JOBS_COMPUTE,AWS,ENTERPRISE,,,ap-south-1,DBU,0.2,USD,,2026-04-10T09:19:36.089946
JOBS_COMPUTE_(PHOTON),AWS,ENTERPRISE,,,ap-south-1,DBU,0.2,USD,,2026-04-10T09:19:36.089946
JOBS_LIGHT_COMPUTE,AWS,ENTERPRISE,,,ap-south-1,DBU,0.13,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_COMPUTE,AWS,ENTERPRISE,,,ap-south-1,DBU,0.65,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_COMPUTE_(PHOTON),AWS,ENTERPRISE,,,ap-south-1,DBU,0.65,USD,,2026-04-10T09:19:36.089946
ALL_PURPOSE_COMPUTE_(DLT),AWS,ENTERPRISE,,,ap-south-1,DBU,0.65,USD,,2026-04-10T09:19:36.089946
