cloud,model,rate_type,dbu_rate,input_divisor,is_hourly,sku_product_type
AWS,bge-large,input_token,1.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,bge-large,provisioned_entry,24.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,bge-large,provisioned_scaling,24.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,gemma-3-12b,input_token,2.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,gemma-3-12b,output_token,7.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,gemma-3-12b,provisioned_entry,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,gemma-3-12b,provisioned_scaling,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-120b,input_token,2.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-120b,output_token,8.571,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-120b,provisioned_entry,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-120b,provisioned_scaling,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-20b,input_token,1.0,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-20b,output_token,4.286,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-20b,provisioned_entry,53.571,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,gpt-oss-20b,provisioned_scaling,53.571,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,gte,input_token,1.857,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,gte,provisioned_entry,20.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,gte,provisioned_scaling,20.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-1-8b,input_token,2.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-1-8b,output_token,6.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-1-8b,provisioned_entry,53.571,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-1-8b,provisioned_scaling,106.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-2-1b,provisioned_entry,42.857,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-2-1b,provisioned_scaling,85.714,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-2-3b,provisioned_entry,46.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-2-3b,provisioned_scaling,92.857,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-3-70b,input_token,7.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-3-70b,output_token,21.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-3-70b,provisioned_entry,85.714,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-3-3-70b,provisioned_scaling,342.857,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-4-maverick,input_token,7.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-4-maverick,output_token,21.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-4-maverick,provisioned_entry,85.714,1,True,SERVERLESS_REAL_TIME_INFERENCE
AWS,llama-4-maverick,provisioned_scaling,85.714,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,bge-large,input_token,1.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,bge-large,provisioned_entry,24.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,bge-large,provisioned_scaling,24.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gemma-3-12b,input_token,2.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gemma-3-12b,output_token,7.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gemma-3-12b,provisioned_entry,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gemma-3-12b,provisioned_scaling,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gpt-oss-120b,input_token,2.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gpt-oss-120b,output_token,8.571,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gpt-oss-120b,provisioned_entry,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gpt-oss-120b,provisioned_scaling,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gpt-oss-20b,input_token,1.0,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gpt-oss-20b,output_token,4.286,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gpt-oss-20b,provisioned_entry,53.571,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gpt-oss-20b,provisioned_scaling,53.571,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gte,input_token,1.857,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gte,provisioned_entry,20.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,gte,provisioned_scaling,20.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-3-1-8b,input_token,2.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-3-1-8b,output_token,6.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-3-1-8b,provisioned_entry,53.571,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-3-1-8b,provisioned_scaling,106.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-3-2-1b,provisioned_entry,42.857,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-3-2-1b,provisioned_scaling,85.714,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-3-2-3b,provisioned_entry,46.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-3-2-3b,provisioned_scaling,92.857,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-3-3-70b,input_token,7.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-3-3-70b,output_token,21.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-3-3-70b,provisioned_entry,85.714,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-3-3-70b,provisioned_scaling,342.857,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-4-maverick,input_token,7.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-4-maverick,output_token,21.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-4-maverick,provisioned_entry,85.714,1,True,SERVERLESS_REAL_TIME_INFERENCE
AZURE,llama-4-maverick,provisioned_scaling,85.714,1,True,SERVERLESS_REAL_TIME_INFERENCE
GCP,bge-large,input_token,1.429,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
GCP,bge-large,provisioned_entry,24.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
GCP,bge-large,provisioned_scaling,24.0,1,True,SERVERLESS_REAL_TIME_INFERENCE
GCP,gemma-3-12b,input_token,2.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
GCP,gemma-3-12b,output_token,7.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
GCP,gemma-3-12b,provisioned_entry,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
GCP,gemma-3-12b,provisioned_scaling,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
GCP,gpt-oss-120b,input_token,2.143,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
GCP,gpt-oss-120b,output_token,8.571,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
GCP,gpt-oss-120b,provisioned_entry,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
GCP,gpt-oss-120b,provisioned_scaling,71.429,1,True,SERVERLESS_REAL_TIME_INFERENCE
GCP,gpt-oss-20b,input_token,1.0,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
GCP,gpt-oss-20b,output_token,4.286,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
GCP,gpt-oss-20b,provisioned_entry,53.571,1,True,SERVERLESS_REAL_TIME_INFERENCE
GCP,gpt-oss-20b,provisioned_scaling,53.571,1,True,SERVERLESS_REAL_TIME_INFERENCE
GCP,gte,input_token,1.857,1000000,False,SERVERLESS_REAL_TIME_INFERENCE
