cloud,instance_type,vcpus,memory_gb,dbu_rate,instance_family,is_active,source
AWS,c5.12xlarge,48.0,96.0,7.28,Compute Optimized,True,pricing_bundle
AWS,c5.18xlarge,72.0,144.0,10.92,Compute Optimized,True,pricing_bundle
AWS,c5.24xlarge,96.0,192.0,14.56,Compute Optimized,True,pricing_bundle
AWS,c5.4xlarge,16.0,32.0,2.43,Compute Optimized,True,pricing_bundle
AWS,c5.9xlarge,36.0,72.0,5.46,Compute Optimized,True,pricing_bundle
AWS,c5a.12xlarge,48.0,96.0,7.28,Compute Optimized,True,pricing_bundle
AWS,c5a.16xlarge,64.0,128.0,9.72,Compute Optimized,True,pricing_bundle
AWS,c5a.24xlarge,96.0,192.0,14.56,Compute Optimized,True,pricing_bundle
AWS,c5a.2xlarge,8.0,16.0,1.21,Compute Optimized,True,pricing_bundle
AWS,c5a.4xlarge,16.0,32.0,2.43,Compute Optimized,True,pricing_bundle
AWS,c5a.8xlarge,32.0,64.0,4.86,Compute Optimized,True,pricing_bundle
AWS,c5a.xlarge,4.0,8.0,0.61,Compute Optimized,True,pricing_bundle
AWS,c5ad.12xlarge,48.0,96.0,8.22,Compute Optimized,True,pricing_bundle
AWS,c5ad.16xlarge,64.0,128.0,10.96,Compute Optimized,True,pricing_bundle
AWS,c5ad.24xlarge,96.0,192.0,16.44,Compute Optimized,True,pricing_bundle
AWS,c5ad.2xlarge,8.0,16.0,1.37,Compute Optimized,True,pricing_bundle
AWS,c5ad.4xlarge,16.0,32.0,2.74,Compute Optimized,True,pricing_bundle
AWS,c5ad.8xlarge,32.0,64.0,5.48,Compute Optimized,True,pricing_bundle
AWS,c5ad.xlarge,4.0,8.0,0.69,Compute Optimized,True,pricing_bundle
AWS,c5d.12xlarge,48.0,96.0,7.28,Compute Optimized,True,pricing_bundle
AWS,c5d.18xlarge,72.0,144.0,10.92,Compute Optimized,True,pricing_bundle
AWS,c5d.24xlarge,96.0,192.0,14.56,Compute Optimized,True,pricing_bundle
AWS,c5d.2xlarge,8.0,16.0,1.21,Compute Optimized,True,pricing_bundle
AWS,c5d.4xlarge,16.0,32.0,2.43,Compute Optimized,True,pricing_bundle
AWS,c5d.9xlarge,36.0,72.0,5.46,Compute Optimized,True,pricing_bundle
AWS,c5d.xlarge,4.0,8.0,0.61,Compute Optimized,True,pricing_bundle
AWS,c5n.18xlarge,72.0,192.0,13.97,Compute Optimized,True,pricing_bundle
AWS,c5n.2xlarge,8.0,21.0,1.55,Compute Optimized,True,pricing_bundle
AWS,c5n.4xlarge,16.0,42.0,3.11,Compute Optimized,True,pricing_bundle
AWS,c5n.9xlarge,36.0,96.0,6.99,Compute Optimized,True,pricing_bundle
AWS,c5n.metal,72.0,192.0,13.97,Compute Optimized,True,pricing_bundle
AWS,c5n.xlarge,4.0,10.5,0.78,Compute Optimized,True,pricing_bundle
AWS,c6g.12xlarge,48.0,96.0,9.24,Compute Optimized,True,pricing_bundle
AWS,c6g.16xlarge,64.0,128.0,12.32,Compute Optimized,True,pricing_bundle
AWS,c6g.2xlarge,8.0,16.0,1.54,Compute Optimized,True,pricing_bundle
AWS,c6g.4xlarge,16.0,32.0,3.08,Compute Optimized,True,pricing_bundle
AWS,c6g.8xlarge,32.0,64.0,6.16,Compute Optimized,True,pricing_bundle
AWS,c6g.xlarge,4.0,8.0,0.77,Compute Optimized,True,pricing_bundle
AWS,c6gd.12xlarge,48.0,96.0,9.24,Compute Optimized,True,pricing_bundle
AWS,c6gd.16xlarge,64.0,128.0,12.32,Compute Optimized,True,pricing_bundle
AWS,c6gd.2xlarge,8.0,16.0,1.54,Compute Optimized,True,pricing_bundle
AWS,c6gd.4xlarge,16.0,32.0,3.08,Compute Optimized,True,pricing_bundle
AWS,c6gd.8xlarge,32.0,64.0,6.16,Compute Optimized,True,pricing_bundle
AWS,c6gd.xlarge,4.0,8.0,0.77,Compute Optimized,True,pricing_bundle
AWS,c6i.12xlarge,48.0,96.0,8.34,Compute Optimized,True,pricing_bundle
AWS,c6i.16xlarge,64.0,128.0,11.13,Compute Optimized,True,pricing_bundle
AWS,c6i.24xlarge,96.0,192.0,16.69,Compute Optimized,True,pricing_bundle
AWS,c6i.2xlarge,8.0,16.0,1.39,Compute Optimized,True,pricing_bundle
AWS,c6i.32xlarge,128.0,256.0,22.25,Compute Optimized,True,pricing_bundle
AWS,c6i.4xlarge,16.0,32.0,2.78,Compute Optimized,True,pricing_bundle
AWS,c6i.8xlarge,32.0,64.0,5.56,Compute Optimized,True,pricing_bundle
AWS,c6i.xlarge,4.0,8.0,0.7,Compute Optimized,True,pricing_bundle
AWS,c6id.12xlarge,48.0,96.0,8.34,Compute Optimized,True,pricing_bundle
AWS,c6id.16xlarge,64.0,128.0,11.13,Compute Optimized,True,pricing_bundle
AWS,c6id.24xlarge,96.0,192.0,16.69,Compute Optimized,True,pricing_bundle
AWS,c6id.2xlarge,8.0,16.0,1.39,Compute Optimized,True,pricing_bundle
AWS,c6id.32xlarge,128.0,256.0,22.25,Compute Optimized,True,pricing_bundle
AWS,c6id.4xlarge,16.0,32.0,2.78,Compute Optimized,True,pricing_bundle
AWS,c6id.8xlarge,32.0,64.0,5.56,Compute Optimized,True,pricing_bundle
AWS,c6id.xlarge,4.0,8.0,0.7,Compute Optimized,True,pricing_bundle
AWS,c6in.12xlarge,48.0,96.0,8.34,Compute Optimized,True,pricing_bundle
AWS,c6in.16xlarge,64.0,128.0,11.13,Compute Optimized,True,pricing_bundle
AWS,c6in.24xlarge,96.0,192.0,16.69,Compute Optimized,True,pricing_bundle
AWS,c6in.2xlarge,8.0,16.0,1.39,Compute Optimized,True,pricing_bundle
AWS,c6in.32xlarge,128.0,256.0,22.25,Compute Optimized,True,pricing_bundle
AWS,c6in.4xlarge,16.0,32.0,2.78,Compute Optimized,True,pricing_bundle
AWS,c6in.8xlarge,32.0,64.0,5.56,Compute Optimized,True,pricing_bundle
AWS,c6in.xlarge,4.0,8.0,0.7,Compute Optimized,True,pricing_bundle
AWS,c7a.12xlarge,48.0,96.0,9.9,Compute Optimized,True,pricing_bundle
AWS,c7a.16xlarge,64.0,128.0,13.2,Compute Optimized,True,pricing_bundle
AWS,c7a.24xlarge,96.0,192.0,19.8,Compute Optimized,True,pricing_bundle
AWS,c7a.2xlarge,8.0,16.0,1.65,Compute Optimized,True,pricing_bundle
AWS,c7a.32xlarge,128.0,256.0,26.4,Compute Optimized,True,pricing_bundle
AWS,c7a.48xlarge,192.0,384.0,39.6,Compute Optimized,True,pricing_bundle
AWS,c7a.4xlarge,16.0,32.0,3.3,Compute Optimized,True,pricing_bundle
AWS,c7a.8xlarge,32.0,64.0,6.6,Compute Optimized,True,pricing_bundle
AWS,c7a.xlarge,4.0,8.0,0.83,Compute Optimized,True,pricing_bundle
AWS,c7g.12xlarge,48.0,96.0,10.86,Compute Optimized,True,pricing_bundle
AWS,c7g.16xlarge,64.0,128.0,14.48,Compute Optimized,True,pricing_bundle
AWS,c7g.2xlarge,8.0,16.0,1.81,Compute Optimized,True,pricing_bundle
AWS,c7g.4xlarge,16.0,32.0,3.62,Compute Optimized,True,pricing_bundle
AWS,c7g.8xlarge,32.0,64.0,7.24,Compute Optimized,True,pricing_bundle
AWS,c7g.xlarge,4.0,8.0,0.9,Compute Optimized,True,pricing_bundle
AWS,c7gd.12xlarge,48.0,96.0,10.86,Compute Optimized,True,pricing_bundle
AWS,c7gd.16xlarge,64.0,128.0,14.48,Compute Optimized,True,pricing_bundle
AWS,c7gd.2xlarge,8.0,16.0,1.81,Compute Optimized,True,pricing_bundle
AWS,c7gd.4xlarge,16.0,32.0,3.62,Compute Optimized,True,pricing_bundle
AWS,c7gd.8xlarge,32.0,64.0,7.24,Compute Optimized,True,pricing_bundle
AWS,c7gd.xlarge,4.0,8.0,0.9,Compute Optimized,True,pricing_bundle
AWS,c7i.12xlarge,48.0,96.0,9.18,Compute Optimized,True,pricing_bundle
AWS,c7i.16xlarge,64.0,128.0,12.24,Compute Optimized,True,pricing_bundle
AWS,c7i.24xlarge,96.0,192.0,18.36,Compute Optimized,True,pricing_bundle
AWS,c7i.2xlarge,8.0,16.0,1.53,Compute Optimized,True,pricing_bundle
AWS,c7i.48xlarge,192.0,384.0,36.72,Compute Optimized,True,pricing_bundle
AWS,c7i.4xlarge,16.0,32.0,3.06,Compute Optimized,True,pricing_bundle
AWS,c7i.8xlarge,32.0,64.0,6.12,Compute Optimized,True,pricing_bundle
AWS,c7i.large,2.0,4.0,0.38,Compute Optimized,True,pricing_bundle
AWS,c7i.metal-24xl,96.0,192.0,18.36,Compute Optimized,True,pricing_bundle
AWS,c7i.metal-48xl,192.0,384.0,36.72,Compute Optimized,True,pricing_bundle
AWS,c7i.xlarge,4.0,8.0,0.77,Compute Optimized,True,pricing_bundle
AWS,c8g.12xlarge,48.0,96.0,12.9,General Purpose,True,pricing_bundle
AWS,c8g.16xlarge,64.0,128.0,17.2,General Purpose,True,pricing_bundle
AWS,c8g.24xlarge,96.0,192.0,25.8,General Purpose,True,pricing_bundle
AWS,c8g.2xlarge,8.0,16.0,2.15,General Purpose,True,pricing_bundle
AWS,c8g.48xlarge,192.0,384.0,51.6,General Purpose,True,pricing_bundle
AWS,c8g.4xlarge,16.0,32.0,4.3,General Purpose,True,pricing_bundle
AWS,c8g.8xlarge,32.0,64.0,8.6,General Purpose,True,pricing_bundle
AWS,c8g.large,2.0,4.0,0.54,General Purpose,True,pricing_bundle
AWS,c8g.medium,1.0,2.0,0.27,General Purpose,True,pricing_bundle
