cloud,region,instance_type,pricing_tier,payment_option,cost_per_hour,currency,source,fetched_at
AWS,ap-northeast-1,c5.12xlarge,on_demand,NA,2.568,USD,AWS Pricing API,2025-11-30T09:02:20.454637
AWS,ap-northeast-1,c5.12xlarge,reserved_1y,all_upfront,2.054753,USD,AWS Pricing API (1yr All Upfront),2025-11-30T10:59:49.787997
AWS,ap-northeast-1,c5.12xlarge,reserved_1y,no_upfront,2.054753,USD,AWS Pricing API (1yr No Upfront),2025-11-30T10:16:33.117472
AWS,ap-northeast-1,c5.12xlarge,reserved_1y,partial_upfront,2.054753,USD,AWS Pricing API (1yr Partial Upfront),2025-11-30T10:38:15.405823
AWS,ap-northeast-1,c5.12xlarge,reserved_3y,all_upfront,1.027584,USD,AWS Pricing API (3yr All Upfront),2025-11-30T12:04:49.247483
AWS,ap-northeast-1,c5.12xlarge,reserved_3y,no_upfront,1.027584,USD,AWS Pricing API (3yr No Upfront),2025-11-30T11:21:37.307146
AWS,ap-northeast-1,c5.12xlarge,reserved_3y,partial_upfront,1.027584,USD,AWS Pricing API (3yr Partial Upfront),2025-11-30T11:43:26.304085
AWS,ap-northeast-1,c5.12xlarge,spot,NA,0.945019,USD,AWS EC2 API (90-day avg),2025-11-30T09:43:17.270766
AWS,ap-northeast-1,c5.18xlarge,on_demand,NA,3.852,USD,AWS Pricing API,2025-11-30T09:02:28.960196
AWS,ap-northeast-1,c5.18xlarge,reserved_1y,all_upfront,1.664,USD,AWS Pricing API (1yr All Upfront),2025-11-30T10:59:58.203120
AWS,ap-northeast-1,c5.18xlarge,reserved_1y,no_upfront,1.664,USD,AWS Pricing API (1yr No Upfront),2025-11-30T10:16:41.570936
AWS,ap-northeast-1,c5.18xlarge,reserved_1y,partial_upfront,1.664,USD,AWS Pricing API (1yr Partial Upfront),2025-11-30T10:38:23.966465
AWS,ap-northeast-1,c5.18xlarge,reserved_3y,all_upfront,1.664,USD,AWS Pricing API (3yr All Upfront),2025-11-30T12:04:57.560425
AWS,ap-northeast-1,c5.18xlarge,reserved_3y,no_upfront,1.664,USD,AWS Pricing API (3yr No Upfront),2025-11-30T11:21:45.867092
AWS,ap-northeast-1,c5.18xlarge,reserved_3y,partial_upfront,1.664,USD,AWS Pricing API (3yr Partial Upfront),2025-11-30T11:43:34.656070
AWS,ap-northeast-1,c5.18xlarge,spot,NA,1.275812,USD,AWS EC2 API (90-day avg),2025-11-30T09:43:17.271096
AWS,ap-northeast-1,c5.24xlarge,on_demand,NA,5.136,USD,AWS Pricing API,2025-11-30T09:01:33.194128
