click_id,campaign_id,click_date,user_age_group,user_geography,device_type,landing_page
CLK-001015,CAMP-007,2025-09-26,45-54,APAC,Desktop,/case-studies
CLK-003975,CAMP-023,2025-08-13,45-54,US-Central,Mobile,/webinar
CLK-000455,CAMP-007,2025-09-14,55+,UK,Mobile,/contact
CLK-003795,CAMP-019,2025-09-17,55+,Other,Mobile,/features
CLK-002957,CAMP-008,2025-08-25,55+,US-West,Desktop,/product
CLK-000080,CAMP-007,2025-07-09,55+,Other,Mobile,/product
CLK-003513,CAMP-015,2025-08-02,25-34,US-West,Mobile,/free-trial
CLK-001788,CAMP-007,2025-09-23,55+,US-West,Mobile,/webinar
CLK-000856,CAMP-007,2025-08-04,35-44,Canada,Mobile,/webinar
CLK-003729,CAMP-019,2025-09-11,55+,US-West,Mobile,/contact
CLK-004561,CAMP-032,2025-08-03,55+,US-West,Mobile,/product
CLK-000306,CAMP-007,2025-07-28,55+,Other,Desktop,/about
CLK-001673,CAMP-007,2025-08-05,18-24,Other,Tablet,/free-trial
CLK-001513,CAMP-007,2025-09-19,18-24,US-East,Mobile,/free-trial
CLK-002071,CAMP-007,2025-07-11,55+,APAC,Mobile,/pricing
CLK-000734,CAMP-007,2025-08-18,55+,Other,Desktop,/case-studies
CLK-000120,CAMP-007,2025-08-27,55+,APAC,Mobile,/product
CLK-002891,CAMP-006,2025-09-21,45-54,US-West,Mobile,/free-trial
CLK-004682,CAMP-034,2025-08-03,35-44,US-East,Desktop,/case-studies
CLK-001534,CAMP-007,2025-07-31,55+,Other,Mobile,/product
CLK-001659,CAMP-007,2025-09-20,25-34,US-West,Tablet,/pricing
CLK-003064,CAMP-009,2025-08-20,45-54,APAC,Mobile,/free-trial
CLK-004694,CAMP-034,2025-07-19,45-54,US-West,Tablet,/demo
CLK-003561,CAMP-016,2025-09-22,25-34,US-West,Desktop,/case-studies
CLK-000931,CAMP-007,2025-08-25,55+,US-East,Mobile,/about
CLK-003456,CAMP-014,2025-08-23,18-24,US-West,Desktop,/pricing
CLK-001400,CAMP-007,2025-08-22,18-24,APAC,Mobile,/demo
CLK-003622,CAMP-017,2025-09-22,35-44,US-Central,Mobile,/pricing
CLK-004478,CAMP-030,2025-09-27,25-34,US-East,Desktop,/pricing
CLK-002442,CAMP-002,2025-08-16,35-44,US-East,Desktop,/webinar
CLK-003815,CAMP-020,2025-08-29,25-34,Other,Desktop,/case-studies
CLK-003777,CAMP-019,2025-09-23,45-54,US-Central,Desktop,/contact
CLK-000420,CAMP-007,2025-07-21,55+,APAC,Mobile,/pricing
CLK-004718,CAMP-035,2025-07-16,25-34,US-West,Desktop,/webinar
CLK-003173,CAMP-011,2025-08-10,35-44,US-West,Tablet,/case-studies
CLK-001808,CAMP-007,2025-09-13,55+,UK,Tablet,/free-trial
CLK-004168,CAMP-025,2025-07-15,55+,US-Central,Tablet,/free-trial
CLK-001547,CAMP-007,2025-09-30,18-24,Other,Mobile,/webinar
CLK-004837,CAMP-036,2025-08-25,25-34,US-West,Mobile,/product
CLK-001106,CAMP-007,2025-07-01,55+,UK,Mobile,/pricing
CLK-004292,CAMP-028,2025-08-30,25-34,Canada,Desktop,/blog
CLK-001634,CAMP-007,2025-08-30,18-24,UK,Mobile,/contact
CLK-004698,CAMP-034,2025-08-21,35-44,US-West,Mobile,/pricing
CLK-003980,CAMP-023,2025-08-21,25-34,US-West,Desktop,/case-studies
CLK-002976,CAMP-008,2025-07-17,35-44,UK,Desktop,/pricing
CLK-000611,CAMP-007,2025-07-30,55+,UK,Mobile,/blog
CLK-001033,CAMP-007,2025-07-08,18-24,US-West,Mobile,/features
CLK-004366,CAMP-029,2025-08-02,25-34,UK,Mobile,/blog
CLK-001026,CAMP-007,2025-08-08,55+,Other,Tablet,/blog
CLK-003733,CAMP-019,2025-09-25,35-44,APAC,Mobile,/webinar
CLK-004392,CAMP-029,2025-09-24,25-34,Canada,Desktop,/case-studies
