order_id,customer_id,order_date,product_id,quantity,order_total_usd,shipping_method,region
ORD-00001,CUST-01564,2025-05-26,PROD-0192,1,467.76,Freight,West Coast
ORD-00002,CUST-01129,2025-05-25,PROD-0001,1,20.32,Express,Southeast
ORD-00003,CUST-01655,2025-04-17,PROD-0074,3,225.3,Express,Midwest
ORD-00004,CUST-00861,2025-05-13,PROD-0055,2,37.12,Express,Northeast
ORD-00005,CUST-01178,2025-06-28,PROD-0113,3,96.84,Standard,Northeast
ORD-00006,CUST-01791,2025-06-23,PROD-0125,1,74.94,Standard,Northeast
ORD-00007,CUST-01330,2025-06-23,PROD-0079,1,108.45,Standard,Northeast
ORD-00008,CUST-01322,2025-04-09,PROD-0124,1,22.19,Express,Northeast
ORD-00009,CUST-01216,2025-05-04,PROD-0133,1,146.99,Express,Southwest
ORD-00010,CUST-01430,2025-05-15,PROD-0190,3,18.0,Standard,West Coast
ORD-00011,CUST-00598,2025-04-14,PROD-0155,1,579.86,Freight,Midwest
ORD-00012,CUST-01389,2025-04-06,PROD-0063,1,20.77,Express,Northeast
ORD-00013,CUST-01381,2025-04-13,PROD-0200,1,294.69,Standard,Northeast
ORD-00014,CUST-00649,2025-06-18,PROD-0017,1,123.55,Express,Southwest
ORD-00015,CUST-00437,2025-04-16,PROD-0092,1,8.52,Standard,West Coast
ORD-00016,CUST-01790,2025-05-08,PROD-0020,3,211.62,Express,West Coast
ORD-00017,CUST-00626,2025-05-17,PROD-0113,3,96.84,Express,Southwest
ORD-00018,CUST-00380,2025-06-03,PROD-0133,1,146.99,Standard,West Coast
ORD-00019,CUST-00064,2025-04-11,PROD-0078,4,277.32,Standard,Northeast
ORD-00020,CUST-01529,2025-04-12,PROD-0011,4,338.04,Standard,Southwest
ORD-00021,CUST-01772,2025-06-08,PROD-0146,1,32.72,Express,Southeast
ORD-00022,CUST-01472,2025-06-07,PROD-0169,3,388.05,Standard,West Coast
ORD-00023,CUST-01306,2025-06-06,PROD-0075,2,17.74,Express,Northeast
ORD-00024,CUST-01119,2025-05-06,PROD-0021,1,96.8,Standard,Northeast
ORD-00025,CUST-01276,2025-05-06,PROD-0112,1,17.01,Standard,Southeast
ORD-00026,CUST-01206,2025-04-14,PROD-0129,2,78.42,Standard,Southeast
ORD-00027,CUST-01737,2025-05-27,PROD-0103,3,130.2,Standard,West Coast
ORD-00028,CUST-00539,2025-05-04,PROD-0191,1,26.02,Standard,West Coast
ORD-00029,CUST-00059,2025-05-25,PROD-0100,4,273.08,Express,Midwest
ORD-00030,CUST-01670,2025-04-30,PROD-0185,1,25.72,Express,Midwest
ORD-00031,CUST-01154,2025-05-21,PROD-0001,1,20.32,Express,Southeast
ORD-00032,CUST-00612,2025-04-02,PROD-0055,2,37.12,Standard,Northeast
ORD-00033,CUST-01123,2025-05-22,PROD-0125,2,149.88,Standard,Midwest
ORD-00034,CUST-00655,2025-04-11,PROD-0040,1,105.57,Express,Midwest
ORD-00035,CUST-00253,2025-06-27,PROD-0119,3,105.42,Standard,Southeast
ORD-00036,CUST-00378,2025-05-21,PROD-0073,1,13.01,Standard,West Coast
ORD-00037,CUST-01426,2025-05-10,PROD-0015,2,11.42,Freight,Southwest
ORD-00038,CUST-00313,2025-04-15,PROD-0058,2,17.02,Standard,Southwest
ORD-00039,CUST-00488,2025-04-25,PROD-0118,1,125.5,Express,Northeast
ORD-00040,CUST-01230,2025-06-04,PROD-0078,3,207.99,Standard,Southwest
ORD-00041,CUST-01103,2025-05-08,PROD-0098,2,31.44,Standard,Southwest
ORD-00042,CUST-00855,2025-04-03,PROD-0026,2,34.76,Express,Midwest
ORD-00043,CUST-00500,2025-04-11,PROD-0160,2,74.54,Express,Northeast
ORD-00044,CUST-00027,2025-05-30,PROD-0078,1,69.33,Standard,Northeast
ORD-00045,CUST-00425,2025-04-25,PROD-0158,3,72.0,Express,Southeast
ORD-00046,CUST-00593,2025-05-12,PROD-0131,1,10.11,Express,Midwest
ORD-00047,CUST-01010,2025-04-08,PROD-0176,1,26.62,Standard,Midwest
ORD-00048,CUST-01623,2025-04-06,PROD-0003,5,618.4,Freight,Midwest
ORD-00049,CUST-00855,2025-04-18,PROD-0081,2,4231.38,Freight,Southwest
ORD-00050,CUST-01468,2025-04-20,PROD-0030,2,27.66,Express,Northeast
ORD-00051,CUST-01400,2025-04-14,PROD-0145,1,113.22,Standard,Northeast
ORD-00052,CUST-00231,2025-05-04,PROD-0157,2,53.86,Express,Southwest
ORD-00053,CUST-00722,2025-04-04,PROD-0036,1,62.43,Standard,Southeast
ORD-00054,CUST-00901,2025-05-08,PROD-0062,1,409.78,Freight,Northeast
